age_BP,median,q05,q95
0,0.0877,-0.2624,0.5795
100,0.0000,-0.3420,0.3556
200,0.0505,-0.2895,0.3867
300,0.0250,-0.3133,0.3592
400,0.0349,-0.3162,0.3475
500,0.0369,-0.2843,0.3393
600,0.0728,-0.2401,0.3652
700,0.0741,-0.2277,0.3818
800,0.0838,-0.2016,0.3748
900,0.0843,-0.2174,0.3793
1000,0.1143,-0.1878,0.4203
1100,0.1403,-0.1453,0.4704
1200,0.1709,-0.1188,0.5111
1300,0.1794,-0.0720,0.5040
1400,0.1377,-0.1152,0.4501
1500,0.1303,-0.1313,0.3992
1600,0.1298,-0.1440,0.4081
1700,0.1426,-0.1118,0.4648
1800,0.1516,-0.1047,0.4600
1900,0.1351,-0.1248,0.4126
2000,0.1572,-0.0987,0.4225
2100,0.1733,-0.0680,0.4895
2200,0.1993,-0.0258,0.5334
2300,0.2144,-0.0092,0.5701
2400,0.2179,-0.0127,0.5639
2500,0.2239,-0.0070,0.6113
2600,0.2204,-0.0149,0.5848
2700,0.2284,-0.0014,0.6133
2800,0.2461,0.0093,0.6536
2900,0.2690,0.0354,0.6879
3000,0.2869,0.0511,0.7141
3100,0.2991,0.0792,0.7748
3200,0.3020,0.0932,0.7743
3300,0.3082,0.0879,0.7876
3400,0.3329,0.1298,0.8149
3500,0.3315,0.1148,0.8859
3600,0.3566,0.1330,0.9222
3700,0.3662,0.1409,0.9744
3800,0.3741,0.1452,0.9262
3900,0.3621,0.1330,0.9069
4000,0.3622,0.1310,0.8799
4100,0.3609,0.1368,0.9262
4200,0.3617,0.1338,0.9109
4300,0.3506,0.1316,0.9158
4400,0.3596,0.1485,0.9611
4500,0.3704,0.1529,0.9709
4600,0.3816,0.1614,0.9726
4700,0.3948,0.1831,1.0083
4800,0.4065,0.1782,1.0450
4900,0.4231,0.1978,1.0904
5000,0.4321,0.2028,1.0966
5100,0.4317,0.2101,1.0804
5200,0.4387,0.2040,1.0978
5300,0.4525,0.2018,1.1441
5400,0.4465,0.2190,1.1380
5500,0.4514,0.2140,1.1455
5600,0.4662,0.2393,1.2148
5700,0.4782,0.2261,1.2660
5800,0.4917,0.2471,1.2827
5900,0.4926,0.2468,1.2625
6000,0.5135,0.2725,1.2927
6100,0.5272,0.2776,1.3666
6200,0.5334,0.2914,1.3754
6300,0.5321,0.2786,1.3966
6400,0.5374,0.2918,1.3624
6500,0.5332,0.2880,1.3822
6600,0.5428,0.3010,1.3963
6700,0.5346,0.2944,1.3401
6800,0.5263,0.2856,1.3272
6900,0.5195,0.2670,1.3116
7000,0.5121,0.2662,1.2985
7100,0.5105,0.2525,1.3040
7200,0.4940,0.2306,1.2617
7300,0.4776,0.2263,1.2379
7400,0.4706,0.1880,1.1924
7500,0.4471,0.1671,1.1554
7600,0.4385,0.1667,1.0887
7700,0.4308,0.1398,1.0609
7800,0.4208,0.1554,1.0075
7900,0.4029,0.1208,0.9509
8000,0.3860,0.1242,0.8973
8100,0.3767,0.1163,0.8682
8200,0.3526,0.0920,0.8326
8300,0.3388,0.0953,0.7842
8400,0.3262,0.0679,0.7520
8500,0.3238,0.0622,0.7350
8600,0.3126,0.0564,0.7322
8700,0.2989,0.0452,0.7049
8800,0.2924,0.0482,0.6771
8900,0.2903,0.0289,0.6860
9000,0.2831,0.0419,0.6715
9100,0.2824,0.0254,0.6385
9200,0.2735,0.0129,0.6325
9300,0.2656,0.0058,0.6437
9400,0.2580,-0.0047,0.6343
9500,0.2441,-0.0343,0.6036
9600,0.2345,-0.0702,0.5777
9700,0.2097,-0.1139,0.5307
9800,0.1797,-0.2000,0.5141
9900,0.1548,-0.2761,0.4705
10000,0.1237,-0.4012,0.4382
10100,0.0932,-0.4549,0.4113
10200,0.0685,-0.5218,0.3754
10300,0.0459,-0.5657,0.3694
10400,0.0122,-0.7263,0.3323
10500,-0.0171,-0.8299,0.3025
10600,-0.0721,-1.0145,0.2409
10700,-0.1209,-1.1914,0.2069
10800,-0.1713,-1.3394,0.1583
10900,-0.2271,-1.4931,0.0994
11000,-0.2693,-1.7465,0.0353
11100,-0.3448,-1.9755,-0.0209
11200,-0.4072,-2.1820,-0.0971
11300,-0.4748,-2.4014,-0.1509
11400,-0.5393,-2.7276,-0.2076
11500,-0.6044,-3.0453,-0.2736
11600,-0.6938,-3.4056,-0.3566
11700,-0.7952,-3.7183,-0.4297
11800,-0.8835,-4.0556,-0.5023
11900,-0.9722,-4.5550,-0.5072
12000,-1.0568,-4.9062,-0.5718
